ptr_id,year,member,class,source_url
2016-00864,2016,Changes in Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00864/changes-in-flood-hazard-determinations
2016-00773,2016,Proposed Flood Hazard Determinations (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00773/proposed-flood-hazard-determinations
2016-00826,2016,Announcement of Public Meeting Via Teleconference: North Ame (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00826/announcement-of-public-meeting-via-teleconference-north-american-wetlands-conservation-council
2016-00771,2016,"Generalized System of Preferences: Possible Modifications, 2 (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00771/generalized-system-of-preferences-possible-modifications-2015-review
2016-00779,2016,Manufacturer of Controlled Substances Registration: American (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00779/manufacturer-of-controlled-substances-registration-american-radiolabeled-chemicals-inc
2016-00778,2016,Manufacturer of Controlled Substances Registration: Apertus  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00778/manufacturer-of-controlled-substances-registration-apertus-pharmaceuticals
2016-00877,2016,Agency Information Collection Activities; Proposed eCollecti (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00877/agency-information-collection-activities-proposed-ecollection-ecomments-requested-revision-of-a
2016-00993,2016,Notice of Submission for Approval: Information Collection 32 (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00993/notice-of-submission-for-approval-information-collection-3206-0150-fingerprint-chart-standard-form
2016-00786,2016,"Self-Regulatory Organizations; NASDAQ OMX BX, Inc.; Notice o (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00786/self-regulatory-organizations-nasdaq-omx-bx-inc-notice-of-filing-and-immediate-effectiveness-of
2016-00837,2016,Equity Market Structure Advisory Committee (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00837/equity-market-structure-advisory-committee
2016-00788,2016,Submission for OMB Review; Comment Request (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00788/submission-for-omb-review-comment-request
2016-00838,2016,International Trade Data System Visa Requirements Under the  (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00838/international-trade-data-system-visa-requirements-under-the-african-growth-and-opportunity-act
2016-00755,2016,Petition for Exemption; Summary of Petition Received; The Bo (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00755/petition-for-exemption-summary-of-petition-received-the-boeing-company
2016-00775,2016,Proposed Collection; Comment Request for Notice 2006-52 (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00775/proposed-collection-comment-request-for-notice-2006-52
2016-00774,2016,Proposed Information Collection; Comment Request (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00774/proposed-information-collection-comment-request
2016-00846,2016,"Advisory Committee on Disability Compensation, Notice of Mee (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00846/advisory-committee-on-disability-compensation-notice-of-meeting
2016-00912,2016,Submission for OMB Review; Comment Request (Notice),,https://www.federalregister.gov/documents/2016/01/19/2016-00912/submission-for-omb-review-comment-request
2016-00833,2016,"Privacy Act of 1974, Amended System of Records (Notice)",,https://www.federalregister.gov/documents/2016/01/19/2016-00833/privacy-act-of-1974-amended-system-of-records
